record_id,municipality,category,name,address,lat,lng,coordinateSource,toiletLocation,floor,insideOutside,gateStatus,openingHours,wheelchair,ostomate,babyChangingTable,babyChair,largeBed,handrail,emergencyButton,powderRoom,freeUse,generalPublicUse,imageUrl,imageSourceUrl,imageType,imageLicense,sourceUrl,sourceType,verificationStatus,researchNote
GS-TK-000001,調布市,PUBLIC,多摩川さくら緑地公衆トイレ,東京都調布市多摩川5丁目37-1,35.641818,139.535911,official,多摩川さくら緑地内,,,,,あり,なし,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000002,調布市,PUBLIC,京王多摩川駅南公衆トイレ,東京都調布市多摩川4丁目41-7,35.64348,139.535747,official,京王多摩川駅前交番横,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000003,調布市,PUBLIC,つつじケ丘駅北公衆トイレ,東京都調布市西つつじケ丘3丁目35-29,35.65813,139.574439,official,つつじケ丘駅北口ロータリー横,,,,,あり,あり,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000004,調布市,PUBLIC,飛田給駅北公衆トイレ,東京都調布市飛田給1丁目42,35.660247,139.523366,official,飛田給駅前交番横,,,,,あり,あり,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000005,調布市,PUBLIC,深大寺前公衆トイレ,東京都調布市深大寺元町5丁目12-12,35.667118,139.549218,official,京王バス深大寺バス停前,,,,,あり,あり,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000006,調布市,PUBLIC,布多天神南公衆トイレ,東京都調布市調布ケ丘1丁目5-20,35.657385,139.543828,official,布多天神敷地南側,,,,,あり,なし,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000007,調布市,PUBLIC,調布駅前広場暫定公衆トイレ,東京都調布市布田4丁目1-4,35.651389,139.543901,official,調布駅前交番横,,,,,あり,あり,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000008,調布市,PUBLIC,入間公園,東京都調布市入間町3-6-7,35.648134,139.588688,official,,,,,,あり,なし,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000009,調布市,PUBLIC,実篤公園,東京都調布市若葉町1-23-20,35.657901,139.581828,official,,,,,,あり,あり,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000010,調布市,PUBLIC,西つつじケ丘児童遊園,東京都調布市西つつじケ丘3-3-8,35.655876,139.569984,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000011,調布市,PUBLIC,野川橋緑地,東京都調布市菊野台3-51,35.649794,139.570244,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000012,調布市,PUBLIC,西町公園,東京都調布市西町717-5,35.66185,139.531693,official,,,,,,あり,なし,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000013,調布市,PUBLIC,上石原児童遊園,東京都調布市上石原1-24-22,35.65795,139.528725,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
GS-TK-000014,調布市,PUBLIC,高速第2児童遊園,東京都調布市上石原1-20-11,35.659307,139.530301,official,,,,,,あり,なし,あり,,,,,,,はい,,,,,https://www.city.chofu.lg.jp/documents/13850/132080_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（調布市公表）
