名称,住所,lat,lng,coordinate_precision,区市町村,area_tag,toiletType,出典URL,備考
三之橋際,東京都墨田区立川4-19-14,35.692303,139.805882,toilet,墨田区,立川4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
江東橋際,東京都墨田区江東橋1-8-2,35.69499,139.809149,toilet,墨田区,江東橋1丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
江東橋二丁目,東京都墨田区江東橋2-18-6,35.695987,139.81172,toilet,墨田区,江東橋2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
錦糸町駅前,東京都墨田区江東橋3-14-5,35.696053,139.814428,toilet,墨田区,江東橋3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
菊川橋際,東京都墨田区江東橋5-1-11,35.688814,139.809653,toilet,墨田区,江東橋5丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東京都慰霊堂北側,東京都墨田区横網2-3-17,35.700092,139.796861,toilet,墨田区,横網2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東京都慰霊堂南側,東京都墨田区横網2-3-30,35.698722,139.796895,toilet,墨田区,横網2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
永倉,東京都墨田区亀沢4-11-1,35.696445,139.805518,toilet,墨田区,亀沢4丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
京成橋際,東京都墨田区業平4-17-4,35.709377,139.81389,toilet,墨田区,業平4丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
柳島橋際,東京都墨田区業平5-7-8,35.707675,139.818056,toilet,墨田区,業平5丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
