名称,住所,lat,lng,coordinate_precision,区市町村,area_tag,toiletType,出典URL,備考
えび山広場 トイレ,東京都板橋区大谷口上町4,,,unknown,板橋区,大谷口上町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
けやきの公園 トイレ,東京都板橋区前野町一丁目48,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
さくらづつみ児童遊園 トイレ,東京都板橋区大谷口北町14-1,,,unknown,板橋区,大谷口北町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
しらさぎ公園 トイレ,東京都板橋区新河岸二丁目10-2,,,unknown,板橋区,新河岸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
どんぐり山公園 トイレ,東京都板橋区中台一丁目19-8,,,unknown,板橋区,中台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
なかいたプチパ－ク トイレ,東京都板橋区中板橋9-13,,,unknown,板橋区,中板橋,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
にたば児童遊園 トイレ,東京都板橋区蓮根三丁目26-1先,,,unknown,板橋区,蓮根,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
にりんそう公園 トイレ,東京都板橋区若木一丁目3-18,,,unknown,板橋区,若木,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
みなみ児童遊園 トイレ,東京都板橋区幸町3-1,,,unknown,板橋区,幸町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
やよい防災ひろば トイレ,東京都板橋区弥生町82-5,,,unknown,板橋区,弥生町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
ゆりの木公衆便所,東京都板橋区赤塚新町三丁目32-13,,,unknown,板橋区,赤塚新町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
七軒家公園 トイレ,東京都板橋区上板橋二丁目38-3,,,unknown,板橋区,上板橋,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
三丁目青空公園 トイレ,東京都板橋区小茂根三丁目14,,,unknown,板橋区,小茂根,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
