開催,R,頭数,信頼度,本命馬番,本命馬名,対抗馬番,対抗馬名,穴馬番,穴馬名,超穴馬番,超穴馬名
札幌,1,14,B,13,ストリートクイーン,5,ルージュリヴィエラ,1,テンレッドサン,10,プルーフリーディン
札幌,2,8,A,3,タイフーンナイン,6,キチロクタワー,5,リアルジャパン,7,スクレイプバイ
札幌,3,14,A,10,クリスレジーナ,5,ハヤブササキチャン,6,ブランドブラン,2,ライフイズカラフル
札幌,4,14,A,8,アルジェンタム,11,ホウオウロレンシア,12,ペガサスウィンド,1,アロハ
札幌,5,12,C,8,レッドマスキュラー,12,シティオブドリーム,11,レジームチェンジ,6,ネージュエトワール
札幌,6,12,A,10,ヨドノゴールド,3,イングラム,8,ビタミンドロップ,4,ラテラルパーム
札幌,7,16,C,7,マコトアディントン,16,ミナヅキ,6,ロッサコメータ,12,ヒメヒオウギ
札幌,8,11,A,10,ジェネラスキング,4,グレイスフルマーチ,7,タイキインドラ,5,ロードアルディート
札幌,9,16,A,3,エコロハート,5,ハッピーラッキー,16,リヴァイ,15,マイケルバローズ
札幌,10,12,B,2,ビーマックス,7,タッカージーティー,10,パールフロント,6,マメタンク
札幌,11,16,B,7,ショウヘイ,10,アドマイヤテラ,8,サクラファレル,12,ゼンダンハヤブサ
札幌,12,14,A,12,ジュンツバメガエシ,2,ダノンヒストリー,9,サラトガチップス,6,アスクデッドヒート
新潟,1,13,C,7,クラオルグジェシダ,8,インサイドエッジ,1,サトノスプレマシー,9,シュネーバレン
新潟,2,17,A,14,アルティマローネ,15,ゾネブルーム,5,ベルトラッキ,16,メジロピオラ
新潟,3,15,C,3,ラキアーヴェ,6,アレックスケー,4,セイウンガジュマル,8,イリスロッソ
新潟,4,13,C,9,トップレイアー,11,マルスレジーナ,4,ロインクロス,12,リアスブルー
新潟,5,12,A,6,ダノンファンスター,10,キシダンチョウ,9,コスモキャバリエ,11,カザンラク
新潟,6,13,A,8,カウスリップ,6,ベイビーキッス,11,モーデン,10,クールベイビー
新潟,7,15,B,5,コンクイスタ,2,ファムエレガンテ,10,ジョーローリット,11,ワイワイレジェンド
新潟,8,13,A,12,ブレードサクセス,5,ラストレガシー,6,フリーマントル,7,アンドリーナ
新潟,9,12,C,5,ビジューブリランテ,2,アウスヴァール,6,ノーブルクライ,11,タイセイレスポンス
新潟,10,15,C,9,バーヴァンシー,13,デルマザオウ,15,カーボフリオ,10,ラショナルポイント
新潟,11,9,A,9,ポルトフェリス,1,ポッドクロス,2,マイネルアウルム,4,ヴィジョンメーカー
新潟,12,15,B,13,タマモブレイキン,11,ロジキセキ,3,マーゴットライズ,10,ヤマタケボニータ
中京,1,10,A,9,アームズラムレイ,5,バクソウシャチョウ,2,インディジャズ,1,スマートメモリー
中京,2,12,C,3,ソルテヴェローチェ,4,ジョルティーニ,7,ピコジャック,11,マコトブリッツ
中京,3,8,C,8,ホウオウワールド,3,デュアルサイン,2,サウンドシェリー,7,グラシアレスインク
中京,4,18,B,18,ホウオウモチーヴ,2,コスモフィレンツェ,6,バックドラフト,7,レッドブライトン
中京,5,16,A,9,モズプリフォール,2,セッシュウ,14,ジョーカー,11,ペプチドアロン
中京,6,7,A,2,ステラクラウン,5,アーリーハーベスト,6,パフュームセント,1,ホウオウタイタン
中京,7,16,C,5,ミニトランザット,6,キープカルム,12,サトノシャイニング,3,ラヴァンダ
中京,8,16,B,10,ダノンキラウェア,6,コスモストーム,12,ラインジーク,14,アンビシャスヨシノ
中京,9,18,B,6,ナムラヴンダー,14,ダノンオブアイデア,3,ロイドウェバー,4,ジャスティンレビン
中京,10,16,A,7,ガールズデイアウト,4,ベルソテイラ,8,ティエラレイナ,14,クレマチス
中京,11,16,B,7,ルージュバロン,13,スウィッチインラヴ,8,ジョワイユノエル,12,ヴァージル
中京,12,16,A,12,タロ,8,ガトー,13,アイランド,11,ゴールデンドラゴン
